13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,CVE-2014-0160,CVE-2009-2299,CVE-2001-0825,CVE-2001-1186,CVE-2001-0191,CVE-2003-0429,CVE-2000-0655,CVE-2004-0492,CVE-2004-0201,CVE-2003-0825,CVE-2004-0095,CVE-2004-0826,CVE-2004-0808,CVE-2002-1357,CVE-2004-0774,CVE-2004-0989,CVE-2004-0568,CVE-2003-0327,CVE-2003-0345,CVE-2004-0430,CVE-2005-0064,CVE-2004-0413,CVE-2004-0940,CVE-2002-1235,CVE-2005-3184,,,,,,,,,,,,,,,,,,,,,,,,,
131,CVE-2004-1363,CVE-2004-0747,CVE-2005-2103,CVE-2005-3120,CVE-2003-0899,CVE-2001-0334,CVE-2001-0248,CVE-2001-0249,CVE-2002-0184,CVE-2004-0434,CVE-2002-1347,CVE-2005-0490,CVE-2004-0940,CVE-2008-0599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,CVE-2002-1825,CVE-2001-0717,CVE-2002-0573,CVE-2002-1788,CVE-2006-2480,CVE-2007-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,CVE-2001-0677,CVE-2000-0703,CVE-2003-0020,CVE-2003-0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,CVE-2003-0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,CVE-2000-0293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,CVE-2004-1982,CVE-2001-0527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,CVE-2002-0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,CVE-2000-0319,CVE-2000-0320,CVE-2001-0996,CVE-2002-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,CVE-2004-0956,CVE-2003-1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
