114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,CVE-2006-4624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,CVE-2001-0677,CVE-2000-0703,CVE-2003-0020,CVE-2003-0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,CVE-2002-0542,CVE-2000-0703,CVE-2002-0986,CVE-2003-0020,CVE-2003-0083,CVE-2003-0021,CVE-2003-0022,CVE-2003-0023,CVE-2003-0063,CVE-2000-0476,CVE-2001-1556,,,,,,,,,,,,,,,,,,,,,,
20,CVE-2008-5305,CVE-2008-2223,CVE-2008-3477,CVE-2008-3843,CVE-2008-3174,CVE-2007-3409,CVE-2006-6870,CVE-2008-1303,CVE-2007-5893,CVE-2006-6658,CVE-2008-4114,CVE-2006-3790,CVE-2008-2309,CVE-2008-3494,CVE-2006-5462,CVE-2008-3571,CVE-2006-5525,CVE-2008-1284,CVE-2008-0600,CVE-2008-1738,CVE-2008-1737,CVE-2008-3464,CVE-2008-2252,CVE-2008-2374,CVE-2008-1440,CVE-2008-1625,CVE-2008-3177,CVE-2007-2442,CVE-2008-5563,CVE-2008-5285,CVE-2008-3812,CVE-2008-3680,CVE-2008-3660
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,CVE-2003-0078,CVE-2000-1117,CVE-2003-0637,CVE-2003-0190,CVE-2004-1602,CVE-2005-0918,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,CVE-2008-2049,CVE-2007-5172,CVE-2008-4638,CVE-2008-1579,CVE-2007-1409,CVE-2008-3060,CVE-2005-0603,,,,,,,,,,,,,,,,,,,,,,,,,,
210,CVE-2005-1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,CVE-2004-1581,CVE-2004-1579,CVE-2005-0459,CVE-2005-0443,CVE-2005-0433,CVE-2004-1101,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,CVE-2005-0406,CVE-2002-0704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,CVE-2005-1387,CVE-2005-2291,CVE-2001-1565,CVE-2004-1948,CVE-1999-1270,CVE-2004-1058,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,CVE-2005-1835,CVE-2005-2217,CVE-2002-1449,CVE-2002-0943,CVE-2005-1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,CVE-1999-1029,CVE-2002-1839,CVE-2000-0542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,CVE-2002-0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,CVE-2007-4217,CVE-2008-1877,CVE-2007-5159,CVE-2008-4638,CVE-2008-0162,CVE-2008-0368,CVE-2007-3931,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,CVE-1999-1193,CVE-2005-2741,CVE-2005-2496,CVE-2004-0274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,CVE-2002-1981,CVE-2002-1671,CVE-2004-2204,CVE-2000-0315,CVE-2004-0380,CVE-2002-1154,CVE-2002-1145,CVE-2000-0506,CVE-2002-2042,CVE-2000-1212,CVE-2005-1742,CVE-2001-1480,CVE-2001-1551,CVE-2001-1166,CVE-2005-1816,CVE-2005-2173,CVE-2005-2027,,,,,,,,,,,,,,,,
268,CVE-2005-1736,CVE-2002-1772,CVE-2005-1973,CVE-2003-0640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,CVE-2001-1555,CVE-2001-1514,CVE-2001-0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,CVE-2002-1688,CVE-2003-1026,CVE-2002-1770,CVE-2005-2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,CVE-2000-1213,CVE-2001-0559,CVE-2001-0787,CVE-2002-0080,CVE-2001-1029,CVE-1999-0813,CVE-1999-1326,CVE-2000-0172,CVE-2004-2504,CVE-2004-0213,CVE-2004-0806,CVE-2004-0828,CVE-2004-2070,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,CVE-2006-4447,CVE-2006-2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,CVE-2001-1564,CVE-2005-3286,CVE-2005-1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
